distance  ,nan, angle_to_goal(rad)  ,-0.0242377, inc_x  ,165, inc_y  ,-4
distance  ,-inf, angle_to_goal(rad)  ,-0.0242377, inc_x  ,165, inc_y  ,-4
distance  ,nan, angle_to_goal(rad)  ,-2.67795, inc_x  ,-6, inc_y  ,-3
distance  ,nan, angle_to_goal(rad)  ,-2.67795, inc_x  ,-6, inc_y  ,-3
distance  ,nan, angle_to_goal(rad)  ,-0.124355, inc_x  ,96, inc_y  ,-12
distance  ,nan, angle_to_goal(rad)  ,-0.124355, inc_x  ,96, inc_y  ,-12
distance  ,1.16599, angle_to_goal(rad)  ,-0.0748598, inc_x  ,160, inc_y  ,-12
distance  ,3.94886, angle_to_goal(rad)  ,-0.0748598, inc_x  ,160, inc_y  ,-12
distance  ,4.4754, angle_to_goal(rad)  ,-0.0826141, inc_x  ,157, inc_y  ,-13
distance  ,0.568908, angle_to_goal(rad)  ,-2.9442, inc_x  ,-100, inc_y  ,-20
distance  ,nan, angle_to_goal(rad)  ,-0.0200776, inc_x  ,498, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.0200374, inc_x  ,499, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.0966675, inc_x  ,165, inc_y  ,-16
distance  ,nan, angle_to_goal(rad)  ,-0.0836368, inc_x  ,167, inc_y  ,-14
distance  ,nan, angle_to_goal(rad)  ,-0.0836368, inc_x  ,167, inc_y  ,-14
distance  ,0.788073, angle_to_goal(rad)  ,-0.0786255, inc_x  ,165, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0776876, inc_x  ,167, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0906599, inc_x  ,165, inc_y  ,-15
distance  ,nan, angle_to_goal(rad)  ,-0.0978461, inc_x  ,163, inc_y  ,-16
distance  ,nan, angle_to_goal(rad)  ,-0.0599282, inc_x  ,150, inc_y  ,-9
distance  ,nan, angle_to_goal(rad)  ,-0.0475831, inc_x  ,147, inc_y  ,-7
distance  ,0.523841, angle_to_goal(rad)  ,-0.0419334, inc_x  ,143, inc_y  ,-6
distance  ,0.534825, angle_to_goal(rad)  ,-0.0419334, inc_x  ,143, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.0419334, inc_x  ,143, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.060532, inc_x  ,165, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.0704713, inc_x  ,170, inc_y  ,-12
distance  ,nan, angle_to_goal(rad)  ,-0.0496486, inc_x  ,161, inc_y  ,-8
distance  ,-inf, angle_to_goal(rad)  ,-0.155364, inc_x  ,83, inc_y  ,-13
distance  ,-inf, angle_to_goal(rad)  ,-0.11189, inc_x  ,89, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.0261378, inc_x  ,153, inc_y  ,-4
distance  ,nan, angle_to_goal(rad)  ,-0.0337709, inc_x  ,148, inc_y  ,-5
distance  ,nan, angle_to_goal(rad)  ,-0.172681, inc_x  ,86, inc_y  ,-15
distance  ,nan, angle_to_goal(rad)  ,-0.135997, inc_x  ,95, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.11292, inc_x  ,97, inc_y  ,-11
distance  ,nan, angle_to_goal(rad)  ,-0.11292, inc_x  ,97, inc_y  ,-11
distance  ,1.76854, angle_to_goal(rad)  ,-0.0296942, inc_x  ,101, inc_y  ,-3
distance  ,1.77236, angle_to_goal(rad)  ,-0.0296942, inc_x  ,101, inc_y  ,-3
distance  ,nan, angle_to_goal(rad)  ,3.14159, inc_x  ,-3, inc_y  ,0
distance  ,nan, angle_to_goal(rad)  ,3.14159, inc_x  ,-3, inc_y  ,0
distance  ,-inf, angle_to_goal(rad)  ,-0.00386098, inc_x  ,259, inc_y  ,-1
distance  ,-inf, angle_to_goal(rad)  ,-0.00386098, inc_x  ,259, inc_y  ,-1
distance  ,-inf, angle_to_goal(rad)  ,0, inc_x  ,262, inc_y  ,0
distance  ,-inf, angle_to_goal(rad)  ,0.0155629, inc_x  ,257, inc_y  ,4
distance  ,-inf, angle_to_goal(rad)  ,-0.00386098, inc_x  ,259, inc_y  ,-1
distance  ,-inf, angle_to_goal(rad)  ,0.0319891, inc_x  ,250, inc_y  ,8
distance  ,nan, angle_to_goal(rad)  ,0.0247883, inc_x  ,242, inc_y  ,6
distance  ,-inf, angle_to_goal(rad)  ,0.0247883, inc_x  ,242, inc_y  ,6
distance  ,-inf, angle_to_goal(rad)  ,-0.00826427, inc_x  ,242, inc_y  ,-2
distance  ,nan, angle_to_goal(rad)  ,-0.00826427, inc_x  ,242, inc_y  ,-2
distance  ,0.364081, angle_to_goal(rad)  ,-0.0222186, inc_x  ,270, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,0.0753289, inc_x  ,106, inc_y  ,8
distance  ,nan, angle_to_goal(rad)  ,-0.0880074, inc_x  ,102, inc_y  ,-9
distance  ,nan, angle_to_goal(rad)  ,-0.129275, inc_x  ,100, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.129275, inc_x  ,100, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.133227, inc_x  ,97, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.129275, inc_x  ,100, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0720401, inc_x  ,97, inc_y  ,-7
distance  ,-inf, angle_to_goal(rad)  ,-0.120624, inc_x  ,99, inc_y  ,-12
distance  ,-inf, angle_to_goal(rad)  ,-0.0996687, inc_x  ,100, inc_y  ,-10
distance  ,-inf, angle_to_goal(rad)  ,-0.0996687, inc_x  ,100, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.0180703, inc_x  ,166, inc_y  ,-3
distance  ,nan, angle_to_goal(rad)  ,-0.0180703, inc_x  ,166, inc_y  ,-3
distance  ,18.1667, angle_to_goal(rad)  ,-0.0528918, inc_x  ,170, inc_y  ,-9
distance  ,nan, angle_to_goal(rad)  ,-0.0528918, inc_x  ,170, inc_y  ,-9
distance  ,nan, angle_to_goal(rad)  ,-0.147437, inc_x  ,101, inc_y  ,-15
distance  ,nan, angle_to_goal(rad)  ,-0.100254, inc_x  ,169, inc_y  ,-17
distance  ,nan, angle_to_goal(rad)  ,-0.0958591, inc_x  ,156, inc_y  ,-15
distance  ,-inf, angle_to_goal(rad)  ,-0.087613, inc_x  ,148, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.102381, inc_x  ,146, inc_y  ,-15
distance  ,-inf, angle_to_goal(rad)  ,-0.0888069, inc_x  ,146, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0888069, inc_x  ,146, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0773104, inc_x  ,142, inc_y  ,-11
distance  ,nan, angle_to_goal(rad)  ,-0.0977269, inc_x  ,153, inc_y  ,-15
distance  ,nan, angle_to_goal(rad)  ,-0.061295, inc_x  ,277, inc_y  ,-17
distance  ,nan, angle_to_goal(rad)  ,-0.061295, inc_x  ,277, inc_y  ,-17
distance  ,0.640988, angle_to_goal(rad)  ,-0.0680765, inc_x  ,176, inc_y  ,-12
distance  ,nan, angle_to_goal(rad)  ,-0.071733, inc_x  ,167, inc_y  ,-12
distance  ,nan, angle_to_goal(rad)  ,-0.0759955, inc_x  ,197, inc_y  ,-15
distance  ,nan, angle_to_goal(rad)  ,-0.0759955, inc_x  ,197, inc_y  ,-15
distance  ,nan, angle_to_goal(rad)  ,-0.0775143, inc_x  ,206, inc_y  ,-16
distance  ,0.620338, angle_to_goal(rad)  ,-0.0493895, inc_x  ,263, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0440891, inc_x  ,272, inc_y  ,-12
distance  ,nan, angle_to_goal(rad)  ,-0.0289774, inc_x  ,276, inc_y  ,-8
distance  ,nan, angle_to_goal(rad)  ,-0.0465613, inc_x  ,279, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0465613, inc_x  ,279, inc_y  ,-13
